address,lat,long,nearest_mrt,dist_to_mrt,nearest_prisch,is_<2km_prisch,nearest_top20,is_<2km_top20,time_to_city,nearest_mall,dist_to_mall,dist_to_city
135 BISHAN ST 12,1.3445621682942301,103.851287598109,Braddell,0.6435963724069139,GUANGYANG PRIMARY SCHOOL,1,PEI CHUN PUBLIC SCHOOL,1,34.95,Junction 8,0.6971156714065436,6.696606383835102
157 BISHAN ST 13,1.34605755352171,103.856679995938,Bishan,1.0855634128466718,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1,PEI CHUN PUBLIC SCHOOL,1,34.85,Junction 8,1.0246851032526485,6.885604430046437
444 SIN MING AVE,1.3585394288294301,103.832309279131,Marymount,1.290661030797451,AI TONG SCHOOL,1,AI TONG SCHOOL,1,44.38333333333333,Thomson Plaza,0.4560677978142333,8.515691507988356
228 BISHAN ST 23,1.3579492913179199,103.846767675257,Bishan,0.793574285533765,TOWNSVILLE PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,37.183333333333344,Junction 8,0.8796015600773729,8.194125247028998
290 BISHAN ST 24,1.35613778516577,103.84489765479601,Bishan,0.6844236271589591,TOWNSVILLE PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,39.766666666666666,Junction 8,0.7678790678882434,8.010798977092303
179 BISHAN ST 13,1.3486083120999095,103.85184333494699,Bishan,0.4787458337073621,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,36.316666666666656,Junction 8,0.41737796646372666,7.144019199962173
238 BISHAN ST 22,1.35976080279004,103.84464264015301,Bishan,1.0549433839818505,TECK GHEE PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,36.55,AMK Hub,1.132700140912147,8.41232667081262
245 BISHAN ST 22,1.3603372738708501,103.84396344889099,Bishan,1.1433538974855193,TECK GHEE PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,35.2,AMK Hub,1.106000270851372,8.482994642052752
186 BISHAN ST 13,1.3493455861285701,103.852578831668,Bishan,0.5168491146835164,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1,CATHOLIC HIGH SCHOOL,1,37.03333333333333,Junction 8,0.4706754729700256,7.226375758641898
420 BT BATOK WEST AVE 2,1.3625504303584701,103.745770795352,Bukit Gombak,0.7810806673797254,ST. ANTHONY'S PRIMARY SCHOOL,1,RULANG PRIMARY SCHOOL,0,49.96666666666667,West Mall,1.4139235955349103,14.629539936323475
267 BT BATOK EAST AVE 4,1.34880956575502,103.759892612835,Bukit Batok,1.146257192854259,KEMING PRIMARY SCHOOL,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0,45.73333333333333,West Mall,1.219360317861396,12.46620202545744
523 BT BATOK ST 52,1.35669994020487,103.752306417884,Bukit Gombak,0.2637412875986496,LIANHUA PRIMARY SCHOOL,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0,46.76666666666666,West Mall,0.8074046372228876,13.660475378100573
283 BT BATOK EAST AVE 3,1.34725431164737,103.757360090503,Bukit Batok,0.8870504149283837,KEMING PRIMARY SCHOOL,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0,46.96666666666667,West Mall,0.9830488635672144,12.601605789898533
271 BT BATOK EAST AVE 4,1.348172638425,103.758893085449,Bukit Batok,1.0393985586986716,KEMING PRIMARY SCHOOL,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0,48.13333333333333,West Mall,1.1209452470571768,12.51732908571948
